expr_id,rep_id,leaf,min,10q,25q,median,75q,90q,max,mean,total_area,percent_infected
Bgh1,B2,1,2,3,9,30,82,146,207,51.687411,124343,15.843272
Bgh1,B2,2,2,9,29,70,108,138,210,71.779550,143346,44.094010
Bgh1,B2,3,2,5,15,55,98,130,215,60.784524,147396,60.707889
Bgh1,B2,4,2,13,45,93,127,155,224,88.090962,143332,63.983618
Bgh1,B2,5,2,4,13,47,91,128,202,56.701803,126893,33.441561
Bgh1,B2,6,2,3,7,15,33,61,178,24.307175,121911,34.618697
Bgh1,B2,7,2,3,7,15,27,46,205,20.526623,103148,33.593477
Bgh1,B2,8,2,23,39,60,86,113,205,64.696687,174496,98.108839
Bgh1,B2,9,2,22,41,68,98,129,228,72.664482,151107,96.344974
Bgh1,B2,10,2,3,6,14,30,58,198,23.292177,124362,39.297374
Bgh1,B2,11,2,28,57,88,118,144,224,87.528663,170307,98.022982
Bgh1,B2,12,2,46,80,121,151,171,219,113.951088,175850,92.464601
Bgh1,B2,13,2,39,76,112,142,164,222,107.380242,144427,95.671170
Bgh1,B2,14,2,11,23,87,149,171,220,88.086959,154373,93.316836
Bgh1,B2,15,2,13,27,81,131,155,217,81.233476,134508,94.518542
